key,code,ean,DUN-14 Inner,DUN-14 Master,unit,description,brand,buy,retailsale,wholesale,inventory,min_inventory,department
ABT-418,11566,7501206674079,17501206674076,27501206674073,Pieza,"Disco Tipo 42 de 7' x 3.2 mm para corte de piedra, Truper",Truper,39,62,49,10,1,Discos abrasivos
ABT-419,11557,7501206674062,17501206674069,27501206674066,Pieza,"Disco Tipo 42 de 9' x 3.2 mm para corte de piedra, Truper",Truper,67,105,87,10,1,Discos abrasivos
ABT-496,11561,7501206674024,17501206674021,27501206674028,Pieza,"Disco para corte de metal, tipo 41, diámetro 7' Expert",Expert,35,55,45,10,1,Discos abrasivos
ABT-500,10662,7506240621461,17506240621468,27506240621465,Pieza,"Disco para corte de metal, tipo 41, diámetro 9' Expert",Expert,55,86,72,10,1,Discos abrasivos
ABT-556,12569,7501206622247,17501206622244,27501206622241,Pieza,"Disco Tipo 42 de 4-1/2' x 3.2 mm para corte de metal, Truper",Truper,14,22,18,10,1,Discos abrasivos
ABT-560,29955,7506240679387,17506240679384,27506240679381,Pieza,"Disco Tipo 27 de 4-1/2' x 6.2 mm desbaste de metal, Pretul",Pretul,17,27,22,10,1,Discos abrasivos
ABT-561,29956,7506240679394,17506240679391,27506240679398,Pieza,"Disco Tipo 27 de 7' x 6.2 mm desbaste de metal, Pretul",Pretul,35,55,45,10,1,Discos abrasivos
ABT-562,29957,7506240679400,17506240679407,27506240679404,Pieza,"Disco Tipo 27 de 9' x 6.2 mm desbaste de metal, Pretul",Pretul,49,77,63,10,1,Discos abrasivos
ABT-739,12568,7501206622230,17501206622237,27501206622234,Pieza,"Disco Tipo 41 de 14' x 2.8 mm para corte de metal, Truper",Truper,65,102,84,10,1,Discos abrasivos
ABT-742,11567,7501206674048,17501206674045,27501206674042,Pieza,"Disco Tipo 41 de 14' x 3 mm para corte de metal, Expert",Expert,79,125,105,10,1,Discos abrasivos
ABT-754,11555,7501206674086,17501206674083,27501206674080,Pieza,Disco Tipo 42 de 4-1/2' x 3.2 mm para corte de piedra,Truper,15,24,19,10,1,Discos abrasivos
ABT-758P,22561,7506240623885,17506240623882,27506240623889,Pieza,"Disco Tipo 41 de 14' x 2.8 mm para corte de metal, Pretul",Pretul,55,86,72,10,1,Discos abrasivos
ABT-774,12565,7501206622216,17501206622213,27501206622210,Pieza,Disco Tipo 27 de 4-1/2' x 6.4 mm para desbaste de metal,Truper,25,39,33,10,1,Discos abrasivos
ABT-779,10667,7506240620471,17506240620478,27506240620475,Pieza,"Disco Tipo 27 de 9' x 6.4 mm para desbaste de metal, Truper",Truper,69,109,89,10,1,Discos abrasivos
ABT-780,11565,7501206674109,17501206674106,27501206674103,Pieza,"Disco Tipo 42 de 7' x 3.2 mm corte metal, Truper Expert",Expert,39,62,49,10,1,Discos abrasivos
ABT-782,11554,7501206674093,17501206674090,27501206674097,Pieza,"Disco Tipo 42 de 9' x 3.2 mm corte metal, Truper Expert",Expert,55,86,72,10,1,Discos abrasivos
ABT-783,10666,7506240620532,17506240620539,27506240620536,Pieza,"Disco Tipo 42 de 7' x 3.2 mm para corte de metal, Truper",Truper,27,42,35,10,1,Discos abrasivos
ABT-784,12564,7501206622209,17501206622206,27501206622203,Pieza,"Disco Tipo 42 de 9' x 3.2 mm para corte de metal, Truper",Truper,40,62,52,10,1,Discos abrasivos
ABT-786,10664,7506240621430,17506240621437,27506240621434,Pieza,"Disco de 4-1/2' para corte de metal, tipo 41, Truper",Truper,12,19,15.5,10,1,Discos abrasivos
ABT-787,10665,7506240621447,17506240621444,27506240621441,Pieza,"Disco de 7' para corte de metal, tipo 41, Truper",Truper,33,52,43,10,1,Discos abrasivos
ABT-791,12572,7506240621454,17506240621451,27506240621458,Pieza,"Disco de 9' para corte de metal, tipo 41, Truper",Truper,49,77,63,10,1,Discos abrasivos
ABT-999,12567,7501206622223,17501206622220,27501206622227,Pieza,"Disco Tipo 27 de 7' x 6.4 mm para desbaste de metal, Truper",Truper,45,69,58,10,1,Discos abrasivos
AC-PF,14318,7506240647331,17506240647338,27506240647335,Pieza,"Adaptador de protector facial para casco, Truper",Truper,69,109,89,10,1,Protectores faciales
AC-PIPI-200,19511,7506240664437,17506240664434,27506240664431,Set,"Accesorios (llave, cepillo, tuerca y espiga) p/PIPI-26 y 27",Truper,39,65,54,10,1,Pistola para pintar (Refacciones y accesorios)
ACA-6,20000,7501206640098,17501206640095,27501206640092,Pieza,"Arco 6' calador para segueta, Pretul",Pretul,120,188,156,10,1,Arcos para seguetas
ACA-6X,10221,7501206671467,17501206671464,27501206671461,Pieza,"Arco calador 6' para segueta, Truper",Truper,145,229,189,10,1,Arcos para seguetas
ACE-20,10359,7506240615910,17506240615917,27506240615914,Pieza,"Azadón Centroamericano 2.0 lb sin mango, Truper",Truper,155,225,185,10,1,Azadones de ojo
ACE-25,10361,7506240615927,17506240615924,27506240615921,Pieza,"Azadón Centroamericano 2.4 lb sin mango, Truper",Truper,175,255,209,10,1,Azadones de ojo
ACE-30,10362,7506240615934,17506240615931,27506240615938,Pieza,"Azadón Centroamericano 2.8 lb sin mango, Truper",Truper,195,285,235,10,1,Azadones de ojo
ACE-35,10364,7506240615941,17506240615948,27506240615945,Pieza,"Azadón Centroamericano 4.0 lb sin mango, Truper",Truper,225,325,269,10,1,Azadones de ojo
ACEF-180,14870,7501206684146,17501206684143,27501206684140,Pieza,"Aceitera de 180 ml (6 oz) con aplicador flexible, Truper",Truper,59,92,76,10,1,Graseras y Aceiteras
ACEF-300,14872,7501206684160,17501206684167,27501206684164,Pieza,"Aceitera de 300 ml (10 oz) con aplicador flexible, Truper",Truper,69,109,89,10,1,Graseras y Aceiteras
ACEF-500,14874,7501206684184,17501206684181,27501206684188,Pieza,"Aceitera de 500 ml (17 oz) con aplicador flexible, Truper",Truper,79,125,105,10,1,Graseras y Aceiteras
ACEM-32,102533,7502309733076,17502309733073,27502309733070,Pieza,"Aceite mineral para compresor, 946ml (32oz), Truper",Truper,125,196,162,10,1,"Lubricantes, aceites y grasas"
ACES-2,14991,7506240635161,17506240635168,27506240635165,Pieza,"Aceite sintético para motor de 2 tiempos, 60 ml",Expert,18,28,23,10,1,"Lubricantes, aceites y grasas"
ACES-20,17625,7501206685495,17501206685492,27501206685499,Pieza,"Aceite sintético para motor de 2 tiempos, 400 ml",Expert,75,117,97,10,1,"Lubricantes, aceites y grasas"
ACES-5,17624,7501206685501,17501206685508,27501206685505,Pieza,"Aceite sintético para motor de 2 tiempos, 100 ml",Expert,27,42,35,10,1,"Lubricantes, aceites y grasas"
ACO-2,11530,7506240666547,17506240666544,27506240666541,Pieza,"Azadón Córdoba # 2 sin mango, Truper",Truper,179,259,215,10,1,Azadones de ojo
ACO-2M,11605,7506240666561,17506240666568,27506240666565,Pieza,Azadón Córdoba # 2 con mango de 54',Truper,319,465,385,10,1,Azadones de ojo
ACO-3,11531,7506240666554,17506240666551,27506240666558,Pieza,"Azadón Córdoba # 3 sin mango, Truper",Truper,189,275,226,10,1,Azadones de ojo
ACO-3M,11631,7506240666578,17506240666575,27506240666572,Pieza,Azadón Córdoba # 3 con mango de 54',Truper,329,477,395,10,1,Azadones de ojo
ACO-BOLA-20,44443,7501206689691,17501206689698,27501206689695,Pieza,"Acoplador para BOLA-20, Truper",Truper,215,339,279,10,1,Accesorios para auto
ACO-BOLA-35,44442,7501206689684,17501206689681,27501206689688,Pieza,"Acoplador para BOLA-35, Truper",Truper,315,495,409,10,1,Accesorios para auto
ACT-4T-16,14928,7506240647089,17506240647086,27506240647083,Pieza,"Aceite semi-sintético, motor 4 tiempos, 470ml (16oz), Truper",Truper,59,92,76,10,1,"Lubricantes, aceites y grasas"
